County,EDP 365,Current Expense ADA,Current Expense Per ADA
Alameda,2375879239.80,196670.00,12080.54
Alpine,2555302.87,73.68,34681.09
Amador,33806573.26,3732.11,9058.30
Butte,292980366.02,25637.60,11427.76
Calaveras,56394409.58,4611.53,12229.00
Colusa,47086518.91,4398.19,10705.89
Contra Costa,1876992989.79,160217.58,11715.27
Del Norte,40373281.22,3366.52,11992.59
El Dorado,253969080.82,23784.36,10677.99
Fresno,2171843186.09,182940.06,11871.88
Glenn,52495295.66,4958.74,10586.42
Humboldt,177707269.95,14394.00,12345.93
Imperial,405421856.02,34223.15,11846.42
Inyo,34244771.47,2487.73,13765.47
Kern,1955220370.62,167318.93,11685.59
Kings,286450505.09,25448.63,11256.03
Lake,105058194.21,8500.19,12359.51
Lassen,34320400.30,3099.48,11072.95
Los Angeles,15978179148.50,1252504.06,12756.99
Madera,315141397.34,27525.56,11449.05
Marin,438374719.24,31175.37,14061.57
Mariposa,19339351.95,1565.06,12356.94
Mendocino,150321106.59,11035.34,13621.79
Merced,610777154.54,54611.89,11183.96
Modoc,16009815.59,1269.87,12607.44
Mono,22771518.13,1528.38,14899.12
Monterey,859341745.39,70414.07,12204.12
Napa,225158107.67,18105.27,12436.05
Nevada,84733644.06,6837.39,12392.69
Orange,5108274707.78,447303.75,11420.15
Placer,650758384.67,61365.42,10604.64
Plumas,25085206.75,1698.18,14771.82
Riverside,4524118087.65,383226.31,11805.34
Sacramento,2377747137.74,203046.10,11710.38
San Benito,107980312.12,10195.37,10591.11
San Bernardino,4206475831.41,357935.50,11752.05
San Diego,4926689535.82,409702.44,12025.04
San Francisco,729813887.43,50381.88,14485.64
San Joaquin,1370614241.09,120891.84,11337.52
San Luis Obispo,367428830.41,32120.17,11439.19
San Mateo,1163667103.79,85632.33,13589.11
Santa Barbara,745076351.97,61287.52,12157.06
Santa Clara,3104675619.13,239665.50,12954.20
Santa Cruz,415593958.54,31985.53,12993.19
Shasta,258524178.94,21061.15,12274.93
Sierra,5318955.95,382.44,13907.95
Siskiyou,62287051.03,4989.14,12484.53
Solano,599820494.20,55672.33,10774.12
Sonoma,714231642.01,56993.87,12531.73
Stanislaus,1081175895.37,96044.66,11257.01
Sutter,187547107.60,16303.94,11503.18
Tehama,112313416.90,9936.02,11303.66
Trinity,21093582.81,1397.79,15090.67
Tulare,1071371532.03,94716.61,11311.34
Tuolumne,56718085.78,4836.61,11726.83
Ventura,1380784242.31,125910.40,10966.40
Yolo,317932086.80,26771.79,11875.64
Yuba,140188628.56,12229.63,11463.03
